step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,393,1,0.07776447825900969,0.0,0.0,0.09897714135154712,0.0,0.0,,,,,,
2,594,2,0.11018443536416893,0.0,0.0,,,,,,,,,
3,1131,3,0.05585652116775685,0.0,0.0,,,,,,,,,
4,1564,4,0.04914681344350457,0.0,0.0,,,,,,,,,
5,1949,5,0.040999565960349475,0.0,0.0,,,,,,,,,
6,2118,6,0.05164171320757998,0.0,0.0,,,,,,,,,
7,2415,7,0.03665206207821029,1.0,1.0,,,,,,,,,
8,2672,8,0.0346980747962391,1.0,1.0,,,,,,,,,
9,2777,9,0.04011136932818493,1.0,1.0,0.03564723098102371,1.0,1.0,,,,,,
10,3010,10,0.039120075111437974,1.0,1.0,,,,,,,,,
11,3435,11,0.03801590342139704,1.0,1.0,,,,,,,,,
12,3596,12,0.03499914915747877,1.0,1.0,,,,,,,,,
13,4013,13,0.03119976691212707,1.0,1.0,,,,,,,,,
14,4974,14,0.03211113898112611,1.0,1.0,,,,,,,,,
15,5319,15,0.03637975398254343,1.0,1.0,,,,,,,,,
16,5544,16,0.03525725127261986,1.0,1.0,,,,,,,,,
17,5897,17,0.029343061534841997,1.0,1.0,0.040426130176560646,1.0,1.0,,,,,,
18,6258,18,0.03301068306350095,1.0,1.0,,,,,,,,,
19,6459,19,0.035683785427649856,1.0,1.0,,,,,,,,,
20,7500,20,0.029927565321977462,1.0,1.0,,,,,,,,,
21,7781,21,0.032367740178153324,1.0,1.0,,,,,,,,,
22,8022,22,0.033907039785194985,1.0,1.0,,,,,,,,,
23,8503,23,0.020654808480224347,1.0,1.0,,,,,,,,,
24,8920,24,0.029175914332285734,1.0,1.0,,,,,,,,,
25,9409,25,0.033722414095345966,1.0,1.0,0.03593570133814841,1.0,1.0,,,,,,
26,9666,26,0.032460756435425536,1.0,1.0,,,,,,,,,
27,9835,27,0.027585244651518653,1.0,1.0,,,,,,,,,
